cluster	label_l3	label_l2	organism
C3	pCM-1	pCM	cavpor3
C6	pCM-1	pCM	mm10
C8	pCM-2	pCM	cavpor3
C5	pCM-2	pCM	mm10
C1	pCM-3	pCM	cavpor3
C2	pCM-3	pCM	cavpor3
C4	pCM-3	pCM	cavpor3
C5	pCM-3	pCM	cavpor3
C6	pCM-3	pCM	cavpor3
C7	pCM-3	pCM	cavpor3
C1	pCM-3	pCM	mm10
C2	pCM-3	pCM	mm10
C3	pCM-3	pCM	mm10
C4	pCM-3	pCM	mm10
C5	pCM-3	pCM	mm10
C7	pCM-3	pCM	mm10
C8	pCM-3	pCM	mm10
C2	mCM-1-1	mCM-1	cavpor3
C6	mCM-1-1	mCM-1	cavpor3
C8	mCM-1-1	mCM-1	cavpor3
C2	mCM-1-1	mCM-1	mm10
C4	mCM-1-1	mCM-1	mm10
C1	mCM-1-2	mCM-1	cavpor3
C3	mCM-1-2	mCM-1	cavpor3
C7	mCM-1-2	mCM-1	cavpor3
C5	mCM-1-2	mCM-1	mm10
C6	mCM-1-2	mCM-1	mm10
C7	mCM-1-2	mCM-1	mm10
C4	mCM-1-3	mCM-1	cavpor3
C5	mCM-1-3	mCM-1	cavpor3
C1	mCM-1-3	mCM-1	mm10
C3	mCM-1-3	mCM-1	mm10
C8	mCM-1-3	mCM-1	mm10
C9	mCM-1-3	mCM-1	mm10
C10	mCM-1-3	mCM-1	mm10
C11	mCM-1-3	mCM-1	mm10
C1	l-mCM	mCM-2	cavpor3
C2	l-mCM	mCM-2	cavpor3
C3	l-mCM	mCM-2	cavpor3
C1	l-mCM	mCM-2	mm10
C2	l-mCM	mCM-2	mm10
C3	l-mCM	mCM-2	mm10
C4	l-mCM	mCM-2	mm10
C5	l-mCM	mCM-2	mm10
C8	tr-dCM	dCM	cavpor3
C9	tr-dCM	dCM	cavpor3
C2	tr-dCM	dCM	mm10
C10	tr-dCM	dCM	mm10
C1	dCM-2	dCM	cavpor3
C2	dCM-2	dCM	cavpor3
C3	dCM-2	dCM	cavpor3
C4	dCM-2	dCM	cavpor3
C5	dCM-2	dCM	cavpor3
C6	dCM-2	dCM	cavpor3
C7	dCM-2	dCM	cavpor3
C1	dCM-2	dCM	mm10
C3	dCM-2	dCM	mm10
C4	dCM-2	dCM	mm10
C5	dCM-2	dCM	mm10
C6	dCM-2	dCM	mm10
C7	dCM-2	dCM	mm10
C8	dCM-2	dCM	mm10
C9	dCM-2	dCM	mm10
C1	EC-1	Endo-EC-1	cavpor3
C2	EC-1	Endo-EC-1	cavpor3
C3	EC-1	Endo-EC-1	cavpor3
C4	EC-1	Endo-EC-1	cavpor3
C1	EC-1	Endo-EC-1	mm10
C2	EC-1	Endo-EC-1	mm10
C3	EC-1	Endo-EC-1	mm10
C4	EC-1	Endo-EC-1	mm10
C10	EC-1	Endo-EC-1	mm10
C5	Endo	Endo-EC-1	cavpor3
C6	Endo	Endo-EC-1	cavpor3
C7	Endo	Endo-EC-1	cavpor3
C8	Endo	Endo-EC-1	cavpor3
C5	Endo	Endo-EC-1	mm10
C6	Endo	Endo-EC-1	mm10
C7	Endo	Endo-EC-1	mm10
C8	Endo	Endo-EC-1	mm10
C9	Endo	Endo-EC-1	mm10
C1	lEC	Endo-EC-2	cavpor3
C2	lEC	Endo-EC-2	cavpor3
C3	lEC	Endo-EC-2	cavpor3
C4	lEC	Endo-EC-2	cavpor3
C5	lEC	Endo-EC-2	cavpor3
C1	lEC	Endo-EC-2	mm10
C2	lEC	Endo-EC-2	mm10
C3	lEC	Endo-EC-2	mm10
C4	lEC	Endo-EC-2	mm10
C1	Macro	BC	cavpor3
C2	Macro	BC	cavpor3
C3	Macro	BC	cavpor3
C4	Macro	BC	cavpor3
C5	Macro	BC	cavpor3
C6	Macro	BC	cavpor3
C1	Macro	BC	mm10
C2	Macro	BC	mm10
C3	Macro	BC	mm10
C4	Macro	BC	mm10